epo: 141, rat: 1.00e-02, err: 5.47e-01, obj: 1.09e+00, dat: -4.75e-03, fpp: 1.61e+00, bpp: 1.51e+00, upd: 4.14e-03, val_err:6.13e-01
epo: 143, rat: 1.00e-02, err: 5.86e-01, obj: 1.10e+00, dat: 1.30e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 4.06e-03, val_err:6.18e-01
epo: 145, rat: 1.00e-02, err: 5.94e-01, obj: 1.14e+00, dat: 1.88e-01, fpp: 1.63e+00, bpp: 1.35e+00, upd: 4.00e-03, val_err:6.02e-01
epo: 147, rat: 1.00e-02, err: 6.33e-01, obj: 1.09e+00, dat: 1.38e-01, fpp: 1.48e+00, bpp: 1.52e+00, upd: 4.03e-03, val_err:6.37e-01
epo: 149, rat: 1.00e-02, err: 6.25e-01, obj: 1.11e+00, dat: 1.37e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 3.97e-03, val_err:6.17e-01
epo: 151, rat: 1.00e-02, err: 5.86e-01, obj: 1.09e+00, dat: 1.37e-01, fpp: 1.62e+00, bpp: 1.39e+00, upd: 3.98e-03, val_err:6.13e-01
epo: 153, rat: 1.00e-02, err: 5.39e-01, obj: 1.08e+00, dat: 1.58e-01, fpp: 1.47e+00, bpp: 1.52e+00, upd: 4.03e-03, val_err:6.29e-01
epo: 155, rat: 1.00e-02, err: 6.48e-01, obj: 1.14e+00, dat: 1.34e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 4.06e-03, val_err:6.29e-01
epo: 157, rat: 1.00e-02, err: 5.47e-01, obj: 1.06e+00, dat: 1.33e-01, fpp: 1.62e+00, bpp: 1.41e+00, upd: 4.98e-03, val_err:6.10e-01
epo: 159, rat: 1.00e-02, err: 6.80e-01, obj: 1.13e+00, dat: 1.35e-01, fpp: 1.46e+00, bpp: 1.51e+00, upd: 4.05e-03, val_err:6.32e-01
epo: 161, rat: 1.00e-02, err: 6.72e-01, obj: 1.13e+00, dat: 1.25e-01, fpp: 1.62e+00, bpp: 1.52e+00, upd: 3.94e-03, val_err:5.99e-01
epo: 163, rat: 1.00e-02, err: 6.64e-01, obj: 1.12e+00, dat: 2.17e-01, fpp: 1.63e+00, bpp: 1.52e+00, upd: 3.93e-03, val_err:5.90e-01
epo: 165, rat: 1.00e-02, err: 6.33e-01, obj: 1.10e+00, dat: 1.40e-01, fpp: 1.62e+00, bpp: 1.36e+00, upd: 4.03e-03, val_err:6.49e-01
epo: 167, rat: 1.00e-02, err: 6.80e-01, obj: 1.13e+00, dat: 1.33e-01, fpp: 1.46e+00, bpp: 1.52e+00, upd: 4.04e-03, val_err:6.25e-01
epo: 169, rat: 1.00e-02, err: 6.25e-01, obj: 1.07e+00, dat: 1.59e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 4.07e-03, val_err:6.49e-01
epo: 171, rat: 1.00e-02, err: 6.09e-01, obj: 1.07e+00, dat: 1.36e-01, fpp: 1.62e+00, bpp: 1.34e+00, upd: 4.07e-03, val_err:6.59e-01
epo: 173, rat: 1.00e-02, err: 6.33e-01, obj: 1.17e+00, dat: 1.34e-01, fpp: 1.45e+00, bpp: 1.53e+00, upd: 3.99e-03, val_err:6.25e-01
epo: 175, rat: 1.00e-02, err: 6.33e-01, obj: 1.10e+00, dat: 1.30e-01, fpp: 1.63e+00, bpp: 1.52e+00, upd: 3.91e-03, val_err:6.09e-01
epo: 177, rat: 1.00e-02, err: 5.86e-01, obj: 1.06e+00, dat: 1.37e-01, fpp: 1.63e+00, bpp: 1.37e+00, upd: 4.01e-03, val_err:6.43e-01
epo: 179, rat: 1.00e-02, err: 6.25e-01, obj: 1.11e+00, dat: 1.40e-01, fpp: 1.49e+00, bpp: 1.52e+00, upd: 4.02e-03, val_err:6.40e-01
