epo: 99, rat: 1.00e-02, err: 6.33e-01, obj: 1.12e+00, dat: 1.33e-01, fpp: 3.06e+00, bpp: 3.01e+00, upd: 7.38e-03, val_err:6.81e-01
epo: 100, rat: 1.00e-02, err: 6.64e-01, obj: 1.13e+00, dat: 1.27e-01, fpp: 3.04e+00, bpp: 3.04e+00, upd: 7.45e-03, val_err:6.57e-01
epo: 101, rat: 1.00e-02, err: 5.08e-01, obj: 1.07e+00, dat: 1.34e-01, fpp: 3.04e+00, bpp: 3.02e+00, upd: 7.32e-03, val_err:6.68e-01
epo: 102, rat: 1.00e-02, err: 6.09e-01, obj: 1.12e+00, dat: 1.35e-01, fpp: 3.05e+00, bpp: 2.84e+00, upd: 7.25e-03, val_err:6.80e-01
epo: 103, rat: 1.00e-02, err: 6.02e-01, obj: 1.12e+00, dat: 1.35e-01, fpp: 3.21e+00, bpp: 2.84e+00, upd: 7.53e-03, val_err:6.65e-01
epo: 104, rat: 1.00e-02, err: 6.41e-01, obj: 1.10e+00, dat: 1.39e-01, fpp: 3.21e+00, bpp: 2.85e+00, upd: 7.47e-03, val_err:6.29e-01
epo: 105, rat: 1.00e-02, err: 5.62e-01, obj: 1.09e+00, dat: 1.33e-01, fpp: 3.05e+00, bpp: 3.02e+00, upd: 7.49e-03, val_err:6.70e-01
epo: 106, rat: 1.00e-02, err: 6.25e-01, obj: 1.09e+00, dat: 1.27e-01, fpp: 3.04e+00, bpp: 3.03e+00, upd: 7.43e-03, val_err:6.34e-01
epo: 107, rat: 1.00e-02, err: 5.23e-01, obj: 1.03e+00, dat: 1.39e-01, fpp: 3.04e+00, bpp: 3.02e+00, upd: 7.45e-03, val_err:5.67e-01
epo: 108, rat: 1.00e-02, err: 5.86e-01, obj: 1.10e+00, dat: 1.34e-01, fpp: 3.04e+00, bpp: 2.84e+00, upd: 7.58e-03, val_err:6.11e-01
epo: 109, rat: 1.00e-02, err: 5.62e-01, obj: 1.07e+00, dat: 1.32e-01, fpp: 3.22e+00, bpp: 2.85e+00, upd: 7.55e-03, val_err:6.47e-01
epo: 110, rat: 1.00e-02, err: 6.33e-01, obj: 1.14e+00, dat: 1.29e-01, fpp: 3.22e+00, bpp: 2.86e+00, upd: 7.55e-03, val_err:6.38e-01
epo: 111, rat: 1.00e-02, err: 5.39e-01, obj: 1.09e+00, dat: 1.37e-01, fpp: 3.03e+00, bpp: 3.03e+00, upd: 7.63e-03, val_err:6.28e-01
epo: 112, rat: 1.00e-02, err: 5.86e-01, obj: 1.09e+00, dat: 1.38e-01, fpp: 3.03e+00, bpp: 3.02e+00, upd: 7.42e-03, val_err:6.60e-01
epo: 113, rat: 1.00e-02, err: 5.86e-01, obj: 1.12e+00, dat: 1.38e-01, fpp: 3.04e+00, bpp: 2.85e+00, upd: 7.15e-03, val_err:6.44e-01
epo: 114, rat: 1.00e-02, err: 6.56e-01, obj: 1.12e+00, dat: 1.31e-01, fpp: 3.06e+00, bpp: 2.84e+00, upd: 7.57e-03, val_err:6.59e-01
epo: 115, rat: 1.00e-02, err: 6.02e-01, obj: 1.09e+00, dat: 1.38e-01, fpp: 3.22e+00, bpp: 2.85e+00, upd: 7.44e-03, val_err:6.34e-01
epo: 116, rat: 1.00e-02, err: 5.94e-01, obj: 1.09e+00, dat: 1.35e-01, fpp: 3.21e+00, bpp: 2.86e+00, upd: 7.43e-03, val_err:6.14e-01
epo: 117, rat: 1.00e-02, err: 5.70e-01, obj: 1.11e+00, dat: 1.44e-01, fpp: 3.03e+00, bpp: 3.03e+00, upd: 7.51e-03, val_err:6.67e-01
epo: 118, rat: 1.00e-02, err: 6.09e-01, obj: 1.11e+00, dat: 1.29e-01, fpp: 3.04e+00, bpp: 3.02e+00, upd: 7.34e-03, val_err:6.37e-01
